0.025,58.0
0.05,25.1
0.075,18.0
0.1,15.9
0.125,16.4
0.15,16.9
0.175,17.9
0.2,16.4
0.225,17.4
0.25,20.9
0.275,19.0
0.3,16.5
0.325,12.7
0.35,21.0
0.375,13.0
0.4,10.1
0.425,10.0
0.45,10.0
0.475,12.0
0.5,10.0
0.525,12.8
0.55,12.7
0.575,11.2
0.6,14.0
0.625,11.2
0.65,11.3
0.675,11.1
0.7,12.1
0.725,15.6
0.75,12.9
0.775,21.7
0.8,12.8
0.825,11.9
0.85,10.2
0.875,10.4
0.9,10.5
0.925,11.8
0.95,10.5
0.975,10.1
1.0,12.4
1.025,14.4
1.05,13.8
1.075,10.7
1.1,11.1
1.125,12.0
1.15,11.4
1.175,11.7
1.2,10.4
1.225,12.6
1.25,10.5
1.275,15.1
1.3,14.1
1.325,11.4
1.35,11.6
1.375,11.5
1.4,10.4
1.425,11.5
1.45,11.7
1.475,10.8
1.5,9.2
1.525,16.1
1.55,11.6
1.575,10.8
1.6,11.8
1.625,15.5
1.65,11.1
1.675,10.8
1.7,10.6
1.725,10.6
1.75,9.7
1.775,19.5
1.8,12.5
1.825,18.3
1.85,16.3
1.875,13.9
1.9,10.6
1.925,10.1
1.95,10.3
1.975,12.1
2.0,10.5
2.025,16.0
2.05,13.4
2.075,11.7
2.1,12.7
2.125,10.4
2.15,10.8
2.175,10.0
2.2,10.4
2.225,13.1
2.25,11.4
2.275,15.8
2.3,14.2
2.325,15.5
2.35,13.0
2.375,10.7
2.4,13.3
2.425,14.1
2.45,14.8
2.475,9.9
2.5,9.2
