0.05,139.9
0.1,106.4
0.15,75.2
0.2,75.5
0.25,84.6
0.3,79.6
0.35,78.2
0.4,78.0
0.45,82.8
0.5,71.8
0.55,79.8
0.6,57.4
0.65,66.7
0.7,60.5
0.75,57.6
0.8,54.5
0.85,56.3
0.9,60.0
0.95,61.3
1.0,69.8
1.05,68.7
1.1,55.3
1.15,67.1
1.2,67.3
1.25,62.0
1.3,60.8
1.35,58.4
1.4,54.6
1.45,54.7
1.5,63.0
1.55,60.7
1.6,69.4
1.65,65.1
1.7,59.8
1.75,56.4
1.8,57.0
1.85,53.9
1.9,58.2
1.95,60.9
2.0,67.1
2.05,58.9
2.1,55.9
2.15,68.4
2.2,67.2
2.25,64.0
2.3,64.4
2.35,60.1
2.4,58.3
2.45,54.0
2.5,59.6
2.55,77.3
2.6,69.7
2.65,71.1
2.7,61.7
2.75,53.6
2.8,55.8
2.85,54.5
2.9,51.4
2.95,51.8
3.0,59.6
3.05,65.7
3.1,64.5
3.15,63.1
3.2,66.5
3.25,73.7
3.3,75.0
3.35,71.5
3.4,74.8
3.45,67.6
3.5,61.4
3.55,65.8
3.6,57.8
3.65,55.5
3.7,68.4
3.75,69.3
3.8,72.0
3.85,74.1
3.9,76.0
3.95,67.8
4.0,65.7
4.05,80.1
4.1,79.3
4.15,65.6
4.2,63.0
4.25,67.0
4.3,64.3
4.35,61.0
4.4,66.0
4.45,68.3
4.5,62.7
4.55,77.6
4.6,75.1
4.65,74.1
4.7,76.0
4.75,60.2
4.8,54.0
4.85,55.2
4.9,61.9
4.95,76.6
5.0,62.4
